Produit,Avis,Sentiment
Huile d'olive,Excellent service et produit au top.,positif
Savon noir,Produit naturel et agréable à utiliser.,positif
Harissa maison,"Pas mal, mais peut mieux faire.",neutre
Tapis Kairouanais,"Très bonne qualité, je recommande fortement.",positif
Huile d'olive,"Livraison lente, mais produit convenable.",neutre
Parfum artisanal,Je suis très satisfaite de mon achat.,positif
Chéchia tunisienne,"Je ne le recommande pas, très insatisfait.",négatif
Huile d'olive,"J'adore ce produit, il est vraiment efficace !",positif
Tapis Kairouanais,"Je ne le recommande pas, très insatisfait.",négatif
Harissa maison,"J'adore ce produit, il est vraiment efficace !",positif
Chéchia tunisienne,"Produit inutilisable, je regrette l'achat.",négatif
Parfum artisanal,Excellent service et produit au top.,positif
Savon noir,Excellent service et produit au top.,positif
Bijoux berbères,"Je ne le recommande pas, très insatisfait.",négatif
Chéchia tunisienne,Je suis très satisfaite de mon achat.,positif
Savon noir,Le parfum est trop fort et désagréable.,négatif
Poterie de Nabeul,Produit naturel et agréable à utiliser.,positif
Tapis Kairouanais,Excellent service et produit au top.,positif
Poterie de Nabeul,"Je ne le recommande pas, très insatisfait.",négatif
Tapis Kairouanais,"Pas mal, mais peut mieux faire.",neutre
Poterie de Nabeul,"J'adore ce produit, il est vraiment efficace !",positif
Huile d'olive,Excellent service et produit au top.,positif
Harissa maison,"Pas mal, mais peut mieux faire.",neutre
Chéchia tunisienne,Excellent service et produit au top.,positif
Harissa maison,"J'adore ce produit, il est vraiment efficace !",positif
Savon noir,"J'adore ce produit, il est vraiment efficace !",positif
Bijoux berbères,"Pas mal, mais peut mieux faire.",neutre
Bijoux berbères,Excellent service et produit au top.,positif
Parfum artisanal,Le parfum est trop fort et désagréable.,négatif
Savon noir,Je suis très satisfaite de mon achat.,positif
Chéchia tunisienne,"Mauvaise qualité, ne correspond pas à la description.",négatif
Savon noir,"Le produit est arrivé cassé, très déçue.",négatif
Parfum artisanal,Excellent service et produit au top.,positif
Harissa maison,"Produit correct, sans plus.",neutre
Huile d'olive,"J'adore ce produit, il est vraiment efficace !",positif
Bijoux berbères,"Produit inutilisable, je regrette l'achat.",négatif
Harissa maison,"Livraison lente, mais produit convenable.",neutre
Tapis Kairouanais,"Très bonne qualité, je recommande fortement.",positif
Poterie de Nabeul,"J'adore ce produit, il est vraiment efficace !",positif
Bijoux berbères,"Produit inutilisable, je regrette l'achat.",négatif
Tapis Kairouanais,"Très bonne qualité, je recommande fortement.",positif
Huile d'olive,"Très bonne qualité, je recommande fortement.",positif
Bijoux berbères,Excellent service et produit au top.,positif
Chéchia tunisienne,"Je ne le recommande pas, très insatisfait.",négatif
Tapis Kairouanais,"Produit correct, sans plus.",neutre
Tapis Kairouanais,Le parfum est trop fort et désagréable.,négatif
Bijoux berbères,"J'adore ce produit, il est vraiment efficace !",positif
Savon noir,Excellent service et produit au top.,positif
Tapis Kairouanais,"Le produit est arrivé cassé, très déçue.",négatif
Harissa maison,C'est acceptable pour le prix.,neutre
Harissa maison,Je suis très satisfaite de mon achat.,positif
Huile d'olive,"Produit correct, sans plus.",neutre
Tapis Kairouanais,Je suis très satisfaite de mon achat.,positif
Poterie de Nabeul,Je suis très satisfaite de mon achat.,positif
Bijoux berbères,"Mauvaise qualité, ne correspond pas à la description.",négatif
Huile d'olive,Excellent service et produit au top.,positif
Bijoux berbères,Produit naturel et agréable à utiliser.,positif
Bijoux berbères,Excellent service et produit au top.,positif
Huile d'olive,"Mauvaise qualité, ne correspond pas à la description.",négatif
Chéchia tunisienne,Excellent service et produit au top.,positif
Tapis Kairouanais,"J'adore ce produit, il est vraiment efficace !",positif
Parfum artisanal,"Produit inutilisable, je regrette l'achat.",négatif
Savon noir,C'est acceptable pour le prix.,neutre
Poterie de Nabeul,"Le produit est arrivé cassé, très déçue.",négatif
Parfum artisanal,"Pas mal, mais peut mieux faire.",neutre
Savon noir,"Très bonne qualité, je recommande fortement.",positif
Harissa maison,"Mauvaise qualité, ne correspond pas à la description.",négatif
Tapis Kairouanais,Le parfum est trop fort et désagréable.,négatif
Savon noir,Produit naturel et agréable à utiliser.,positif
Chéchia tunisienne,Je suis très satisfaite de mon achat.,positif
Savon noir,Je suis très satisfaite de mon achat.,positif
Harissa maison,Je suis très satisfaite de mon achat.,positif
Poterie de Nabeul,"Très bonne qualité, je recommande fortement.",positif
Chéchia tunisienne,"Mauvaise qualité, ne correspond pas à la description.",négatif
Savon noir,"J'adore ce produit, il est vraiment efficace !",positif
Parfum artisanal,Excellent service et produit au top.,positif
Huile d'olive,"Produit correct, sans plus.",neutre
Huile d'olive,"J'adore ce produit, il est vraiment efficace !",positif
Harissa maison,"Produit correct, sans plus.",neutre
Chéchia tunisienne,C'est acceptable pour le prix.,neutre
Bijoux berbères,"J'adore ce produit, il est vraiment efficace !",positif
Parfum artisanal,C'est acceptable pour le prix.,neutre
Huile d'olive,"J'adore ce produit, il est vraiment efficace !",positif
Parfum artisanal,Le parfum est trop fort et désagréable.,négatif
Bijoux berbères,Excellent service et produit au top.,positif
Savon noir,"Très bonne qualité, je recommande fortement.",positif
Parfum artisanal,Je suis très satisfaite de mon achat.,positif
Tapis Kairouanais,"Pas mal, mais peut mieux faire.",neutre
Harissa maison,"Je ne le recommande pas, très insatisfait.",négatif
Savon noir,"J'adore ce produit, il est vraiment efficace !",positif
Poterie de Nabeul,"Le produit est arrivé cassé, très déçue.",négatif
Harissa maison,"Service moyen, produit ok.",neutre
Savon noir,"Très bonne qualité, je recommande fortement.",positif
Poterie de Nabeul,Je suis très satisfaite de mon achat.,positif
Chéchia tunisienne,"Je ne le recommande pas, très insatisfait.",négatif
Parfum artisanal,Produit naturel et agréable à utiliser.,positif
Bijoux berbères,"Je ne le recommande pas, très insatisfait.",négatif
Chéchia tunisienne,Produit naturel et agréable à utiliser.,positif
Harissa maison,Je suis très satisfaite de mon achat.,positif
Bijoux berbères,"J'adore ce produit, il est vraiment efficace !",positif
